X,Y,OBJECTID,HASTUS,TRANSLINK_ID,DESCRIPTION,STREETNAME,NEAREST_CROSS_STREET,EASTING,NORTHING,LATITUDE,LONGITUDE,SUBURB,BUS_STOP_TYPE,TACTILE_GROUND_SURF_INDICAT_Y_N,BOARDING_POINT,ROAD_GRADIENT,CROSS_FALL,DATE_OF_LAST_AUDIT
497128.678,6948516.3614,3863,5492,,Balsa - Biota - 67,BIOTA ST,,497128.7,6948516.4,-27.587268,152.970907,INALA,2 - Intermediate,N,Hard,Easy,Easy,
497082.8337,6948725.9246,3864,5493,300632,Balsa - Ebony - 68,Balsa St,Elder St,497082.8,6948725.9,-27.585376,152.970443,INALA,3 - Regular with seat,Y,Easy,Medium,Easy,2016/06/07 00:00:00+00
497046.4733,6948891.847,3865,5494,,Balsa - Clematis - 69,CLEMATIS ST,,497046.5,6948891.8,-27.583878,152.970075,INALA,3 - Regular with seat,N,Hard,Easy,Easy,
497003.6898,6949085.3491,3866,5495,300634,Balsa - Apricot - 70,Balsa St,Apricot St,497003.7,6949085.3,-27.582131,152.969642,INALA,2 - Intermediate,Y,Easy,Easy,Medium,2017/03/17 00:00:00+00
496962.9774,6949279.5161,3867,5496,,Balsa - Begonia - 71,BEGONIA ST,,496963,6949279.5,-27.580378,152.96923,INALA,2 - Intermediate,N,Hard,Easy,Easy,
497097.345,6948713.3004,3868,5497,300642,Balsa - Ebony - 68,Balsa St,Ebony St,497097.3,6948713.3,-27.58549,152.97059,INALA,3 - Regular with seat,Y,Easy,Medium,Medium,2016/06/07 00:00:00+00
499698.8742,6944865.2029,3869,5499,,RITCHIE / VAN DIEREN,RITCHIE RD,,499698.9,6944865.2,-27.620233,152.996948,PALLARA,4 - Regular ,N,Hard,Hard,Hard,
501647.9078,6950742.1455,3870,5500,,Boundary Road - 46,BOUNDARY RD,,501647.9,6950742.2,-27.567176,153.016694,ARCHERFIELD,5 - District,N,Easy,Easy,Easy,
501837.8259,6950709.6633,3871,5501,,Boundary Road - 47,BOUNDARY RD,,501837.8,6950709.7,-27.567469,153.018618,ARCHERFIELD,4 - Regular ,N,Hard,Hard,Hard,
502413.8801,6950552.8261,3872,5502,,Beaudesert Road - 44,BEAUDESERT RD,,502413.9,6950552.8,-27.568884,153.024454,COOPERS PLAINS,3 - Regular with seat,N,Hard,Easy,Easy,
502446.798,6950295.5049,3873,5503,,Beaudesert Road - 45/51,BEAUDESERT RD,,502446.8,6950295.5,-27.571207,153.024788,COOPERS PLAINS,2 - Intermediate,N,Easy,Easy,Hard,
502329.5956,6950112.4279,3874,5504,,Kerry Road East,KERRY RD,,502329.6,6950112.4,-27.57286,153.023601,ARCHERFIELD,3 - Regular with seat,N,Hard,Easy,Easy,
502058.8597,6950223.6878,3875,5506,,Spowers Street - 50,DESGRAND ST,,502058.9,6950223.7,-27.571856,153.020858,ARCHERFIELD,2 - Intermediate,N,Hard,Hard,Hard,
502068.6293,6950208.954,3876,5507,,Spowers Street - 50,DESGRAND ST,,502068.6,6950208.9,-27.571989,153.020957,ARCHERFIELD,4 - Regular ,N,Hard,Easy,Easy,
502092.9485,6950424.7264,3877,5508,,Janzoon Street - 49,DESGRAND ST,,502092.9,6950424.7,-27.570041,153.021203,ARCHERFIELD,3 - Regular with seat,N,Hard,Hard,Hard,
502100.2481,6950395.9254,3878,5509,300447,Janzoon Street - 49,DESGRAND ST,Townson St,502100.2,6950395.9,-27.570301,153.021277,ARCHERFIELD,3 - Regular with seat,Y,Hard,Medium,Medium,
502140.2658,6950625.6518,3879,5510,300486,Desgrand-Boundary - 48,DESGRAND ST,Boundary Rd,502140.3,6950625.6,-27.568227,153.021682,ARCHERFIELD,2 - Intermediate,Y,Easy,Easy,Medium,2018/02/01 00:00:00+00
502150.5297,6950613.9086,3880,5511,,Desgrand-Boundary - 48,BOUNDARY RD,,502150.5,6950613.9,-27.568333,153.021786,ARCHERFIELD,4 - Regular ,N,Hard,Easy,Easy,
501398.9951,6950232.7534,3881,5512,300481,Archerfield Aerodrome Beatty Road,Beatty Rd,Grenier Dr,501399,6950232.8,-27.571775,153.014173,ARCHERFIELD,2 - Intermediate,Y,Easy,Easy,Easy,2018/02/01 00:00:00+00
501410.7397,6950218.6845,3882,5513,300451,Archerfield Aerodrome Beatty Road,Beatty Rd,Kerry Rd,501410.7,6950218.7,-27.571902,153.014292,ARCHERFIELD,2 - Intermediate,Y,Easy,Easy,Easy,2018/02/01 00:00:00+00
501557.4336,6951096.9478,3883,5516,,Beatty Road - 45,BEATTY RD,,501557.4,6951097,-27.563973,153.015777,ARCHERFIELD,5 - District,N,Easy,Easy,Easy,
501549.4425,6951135.3853,3884,5517,,Beatty Road - 44,BEATTY RD,,501549.4,6951135.4,-27.563626,153.015696,ARCHERFIELD,5 - District,N,Medium,Easy,Medium,
501628.2696,6951525.0572,3885,5518,303183,Archerfield North Beatty Road,BEATTY RD,Rodwell St,501628.3,6951525.1,-27.560108,153.016494,ARCHERFIELD,2 - Intermediate,Y,Easy,Easy,Easy,2018/02/01 00:00:00+00
501627.8851,6951603.2596,3886,5519,,Archerfield North Beatty Road,ROCKLEA ST,,501627.9,6951603.3,-27.559402,153.01649,ARCHERFIELD,2 - Intermediate,N,Hard,Easy,Easy,
502039.9273,6952707.6653,3887,5524,305124,Nyanda - 41,FAIRLIE TCE,Frewin St,502039.9,6952707.7,-27.549431,153.020662,SALISBURY,2 - Intermediate,Y,Easy,Easy,Easy,2019/04/11 00:00:00+00
502364.0354,6952617.885,3888,5525,,Frewin Street - District Stop,FAIRLIE TCE,,502364,6952617.9,-27.550241,153.023945,SALISBURY,5 - District,N,Hard,Hard,Hard,
